animal_name (nome_animale),hair (pelliccia),feathers (piume),eggs (uova),milk (latte),airborne (volante),aquatic (acquatico),predator (predatore),toothed (dentato),backbone (vertebrato),breathes (respira),fins (pinne),legs (zampe),tail (coda),catsize (catsize),class_type (tipo_classe)
puma (puma),1,0,0,1,0,0,1,1,1,1,0,4,1,1,1
pussycat (micio),1,0,0,1,0,0,1,1,1,1,0,4,1,1,1
raccoon (procione),1,0,0,1,0,0,1,1,1,1,0,4,1,1,1
reindeer (renna),1,0,0,1,0,0,0,1,1,1,0,4,1,1,1
rhea (uccello nandù),0,1,1,0,0,0,1,0,1,1,0,2,1,1,2
scorpion (scorpione),0,0,0,0,0,0,1,0,0,1,0,8,1,0,7
seahorse (cavalluccio marino),0,0,1,0,0,1,0,0,1,0,1,0,1,0,4
seal (foca),1,0,0,1,0,1,1,1,1,1,1,0,0,1,1
sealion (leone marino),1,0,0,1,0,1,1,1,1,1,1,0,1,1,1
seasnake (serpente di mare),0,0,1,0,0,1,1,1,1,0,0,0,1,0,3
seawasp (seawasp),0,0,1,0,0,1,1,0,0,0,0,0,0,0,7
skimmer (uccello skimmer),0,1,1,0,1,1,1,0,1,1,0,2,1,0,2
skua (uccello skua),0,1,1,0,1,1,1,0,1,1,0,2,1,0,2
slowworm (orbettino),0,0,1,0,0,0,1,1,1,1,0,0,1,0,3
slug (lumaca),0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
sole (sogliola),0,0,1,0,0,1,0,1,1,0,1,0,1,0,4
sparrow (passero),0,1,1,0,1,0,0,0,1,1,0,2,1,0,2
squirrel (scoiattolo),1,0,0,1,0,0,0,1,1,1,0,2,1,0,1
starfish (stella marina),0,0,1,0,0,1,1,0,0,0,0,5,0,0,7
stingray (razza),0,0,1,0,0,1,1,1,1,0,1,0,1,1,4
swan (cigno),0,1,1,0,1,1,0,0,1,1,0,2,1,1,2
termite (termite),0,0,1,0,0,0,0,0,0,1,0,6,0,0,6
toad (rospo),0,0,1,0,0,1,0,1,1,1,0,4,0,0,5
tortoise (tartaruga),0,0,1,0,0,0,0,0,1,1,0,4,1,1,3
tuatara (tuatara),0,0,1,0,0,0,1,1,1,1,0,4,1,0,3
tuna (tonno),0,0,1,0,0,1,1,1,1,0,1,0,1,1,4
vampire (pipistrello),1,0,0,1,1,0,0,1,1,1,0,2,1,0,1
vole (roditore),1,0,0,1,0,0,0,1,1,1,0,4,1,0,1
vulture (avvoltoio),0,1,1,0,1,0,1,0,1,1,0,2,1,1,2
wallaby (canguro),1,0,0,1,0,0,0,1,1,1,0,4,1,1,1
wasp (vespa),1,0,1,0,1,0,0,0,0,1,0,6,0,0,6
wolf (lupo),1,0,0,1,0,0,1,1,1,1,0,4,1,1,1
worm (verme),0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
wren (uccello scricciolo),0,1,1,0,1,0,0,0,1,1,0,2,1,0,2
